,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
0,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,328,Guyana,HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,0.0
1,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,332,Haiti,HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,0.0
2,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,340,Honduras,HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,0.0
3,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,344,"Hong Kong, China",HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,0.0
4,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,348,Hungary,HS,Harmonized System,010290,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,0.0
5,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,116,Cambodia,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,46.2
6,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,120,Cameroon,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
7,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,132,Cabo Verde,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,46.2
8,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,140,Central African Republic,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,46.2
9,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,144,Sri Lanka,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
10,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,148,Chad,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,46.2
11,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,152,Chile,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
12,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,156,China,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
13,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,158,Chinese Taipei,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
14,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,170,Colombia,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
15,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,178,Congo,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
16,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,180,Democratic Republic of the Congo,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
17,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,188,Costa Rica,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
18,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,191,Croatia,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
19,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,192,Cuba,HS,Harmonized System,020220,Other cuts with bone in,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,46.2
20,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,466,Mali,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,2.4
21,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,470,Malta,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,2.4
22,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,478,Mauritania,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,LDC,2.4
23,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,480,Mauritius,HS,Harmonized System,020319,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,2.4
24,TPA_PRF_HS,Preferential by detailed HS 6-digit,HS_P_0070,HS Pref - Best preferential simple average ad valorem duty,392,Japan,566,Nigeria,HS,Harmonized System,020329,Other,A,Annual,A,Annual,PCT,Percent,1996,PREF,Preferential scheme,GSP,2.4
